Year,Beat,crime_counts,avg_response_time
2016,G3,2555,15.386559686888459
2015,S3,3269,15.393193637197937
2011,F1,3117,15.400426692332394
2013,K1,3610,15.41716343490301
2014,D1,3737,15.419708322183585
2012,L1,3436,15.42583527357394
2019,O2,1983,15.438068582955154
2013,M1,3724,15.455346401718598
2019,G1,2533,15.477891827872083
2017,S1,2644,15.480495461422068
2011,S1,3138,15.493422562141514
2014,F2,3057,15.4939712136081
2017,K1,3855,15.494417639429335
2017,O1,2633,15.503182681352067
2010,R3,3565,15.504535764375898
2012,Q3,3802,15.506925302472409
2016,COMM,9,15.527777777777779
2012,K1,3088,15.530207253886031
2010,R2,3427,15.53274584184417
2010,M1,3054,15.55383104125736
2012,E3,3177,15.579408246773633
2018,S2,2628,15.603234398782323
2009,K2,1984,15.610942540322606
2009,U2,1922,15.612174817898017
2009,F2,1272,15.638899371069192
2012,C1,2444,15.64993453355154
2019,M1,2912,15.651088598901115
2012,L3,3359,15.651658231616558
2013,S3,3528,15.652202380952374
2010,O1,1931,15.65827032625585
2011,O2,1725,15.66159420289855
2016,D1,3904,15.66448514344264
2016,R2,3942,15.678054287163878
2011,HBR,1,15.68
2011,DET,1,15.68
2019,D1,3022,15.681637988087376
2012,D2,3274,15.684505192425199
2018,M2,3512,15.693866742596796
2013,R2,3798,15.697746182201154
2015,O2,1832,15.699284934497825
2013,G1,2294,15.718679163033997
2013,L3,3423,15.723143441425673
2019,S2,2459,15.72889792598615
2015,K2,3462,15.732830733679966
2016,F1,3345,15.749461883408099
2011,R2,3242,15.750410240592243
2013,D2,3332,15.761869747899162
2012,F1,3346,15.769462044231908
2010,L2,3216,15.794580223880544
2016,O3,1968,15.799131097560993
2016,M1,3185,15.812254317111432
2009,M2,1613,15.824841909485425
2017,R2,3760,15.826946808510627
2015,O1,2324,15.82719449225475
2017,G3,2600,15.83076538461539
2015,K1,3491,15.85285877971932
2009,E3,1920,15.852958333333321
2019,G2,2212,15.86233725135621
2010,S1,3298,15.869390539721046
2014,L3,3210,15.87468224299065
2018,F2,3067,15.910629279426164
2014,L1,3675,15.912658503401381
2011,W3,2977,15.92114208935167
2015,O3,1989,15.926173956762174
2014,M1,3491,15.940633056430817
2011,S3,3021,15.948060244952025
2012,TQ,6,15.953333333333333
2009,C3,1692,15.958026004728138
2011,F3,2620,15.958706106870228
2016,DET,2,15.959999999999999
2011,N2,3373,15.967337681589074
2009,S3,1876,15.972052238805988
2013,C3,2744,15.975510204081628
2010,O2,1676,15.977004773269696
2010,L3,3015,15.98490215588726
2012,R2,3546,15.993939650310269
2013,L1,3650,16.003065753424657
2011,R3,3717,16.004409470002688
2013,Q3,4038,16.004596334819237
2014,S3,3588,16.007831661092546
2013,O2,1710,16.009766081871362
2009,D2,1892,16.00995243128963
2014,G3,2439,16.01191881918817
2011,W2,3106,16.015682549903385
2009,D1,2344,16.019854948805445
2013,N3,3947,16.02078287306815
2014,U1,4676,16.02331693755349
2013,U1,5141,16.02539583738574
2017,C1,3029,16.037982832618074
2012,S1,3254,16.041044867854946
2009,O3,966,16.041987577639752
2018,S1,2377,16.053538073201512
2014,E3,3417,16.057740708223573
2013,E3,3539,16.071864933597013
2013,O3,1792,16.075898437499955
2010,S3,3172,16.080970996216898
2014,N3,4119,16.083559116290388
2013,R3,3571,16.09209185102212
2015,M1,3408,16.094154929577456
2010,Q1,2476,16.100169628432965
2014,U2,4387,16.102669250056973
2015,F1,3029,16.105424232419953
2011,Q1,2392,16.115543478260893
2012,N2,3308,16.12451632406292
2009,U1,2588,16.12934698608962
2018,O2,2381,16.13084838303232
2009,C1,1360,16.131838235294115
2014,C1,2581,16.132096086788053
2012,S3,3445,16.136119013062398
2012,L2,3344,16.145589114832507
2009,Q3,2213,16.158133755083593
2010,F3,2464,16.176842532467504
2019,F1,2815,16.181119005328615
2011,C2,2170,16.182566820276495
2010,C2,2247,16.198442367601256
2011,R1,3463,16.211181056887106
2012,C3,2722,16.212450404114648
2010,W3,2992,16.21631350267379
2014,S1,3130,16.2244089456869
2018,F1,3210,16.22847040498443
2017,COMM,16,16.228749999999998
2018,K1,3742,16.22948423303046
2017,D2,3669,16.231526301444557
2010,R1,3562,16.23378158338012
2017,M1,3229,16.23878909879219
2018,D1,3897,16.253176802668737
2019,E1,3487,16.25644106681961
2018,COMM,50,16.2574
2017,O2,2312,16.26167387543253
2016,D2,3564,16.282031425364792
2017,D1,4123,16.292621877273817
2017,SPVDD,4,16.294999999999998
2012,O3,1817,16.297688497523364
2015,G3,2272,16.311122359154968
2016,R1,3282,16.315444850700764
2014,C3,2654,16.32024114544082
2014,D2,3282,16.322672151127332
2019,S1,2102,16.326622264510014
2015,R2,3730,16.333675603217145
2017,F1,3277,16.358782422947858
2009,R3,2245,16.36205345211585
2013,R1,3671,16.375325524380266
2014,K1,3408,16.381420187793445
2011,W1,3153,16.408255629559157
2013,C1,2755,16.422417422867543
2012,D3,3135,16.426953748006376
2013,F1,3281,16.42944833892105
2014,F1,3138,16.433734862970027
2009,L3,1821,16.435288303130143
2014,R2,4161,16.43868060562368
2015,D1,3800,16.439336842105227
2017,L1,3734,16.4457204070702
2016,S3,3207,16.448487683193015
2018,O1,2718,16.44963208241353
2017,CS,1,16.45
2010,W1,3173,16.459101796407133
2015,L1,3436,16.461507566938277
2017,R1,2981,16.46596444146257
2014,Q3,3767,16.481576851606047
2013,N2,3615,16.491197786998598
2016,C1,2943,16.4927149167516
2012,R1,3440,16.496991279069725
2013,S1,3410,16.504829912023443
2018,C1,3020,16.521559602648985
2018,D2,3598,16.526303501945534
2017,C3,2698,16.568810229799862
2016,L2,3842,16.571587714731912
2010,J1,2771,16.57671959581379
2016,R3,3318,16.578698010849884
2009,D3,1594,16.592440401505662
2017,F3,3311,16.59803080640285
2009,L1,1859,16.59956428187199
2014,PSPSN1,1,16.6
2019,D2,3095,16.606148626817465
2019,R2,3367,16.62352242352248
2009,S1,1833,16.63153846153843
2014,R3,3909,16.63286006651319
2018,M1,3249,16.636746691289613
2012,O1,1616,16.640872524752456
2015,CDD,38,16.667368421052632
2018,SPVDD,34,16.682352941176468
2018,R2,4001,16.685821044738805
2014,O2,1770,16.69048022598868
2016,Q3,4400,16.70971818181823
2009,O2,904,16.71007743362833
2017,N2,3413,16.72111338997949
2017,R3,3018,16.74308151093436
2019,O3,2158,16.767391102873045
2016,C3,2756,16.772496371552997
2018,G3,2689,16.772748233544075
2012,R3,3635,16.7780825309491
